voting_method,year,count
town_ab_budget,2017,58
town_ab_budget,2018,63
town_ab_budget,2019,63
town_ab_budget,2020,63
town_ab_budget,2022,63
town_ab_budget,2023,63
town_ab_budget,2024,63
town_ab_officers,2017,139
town_ab_officers,2018,149
town_ab_officers,2019,149
town_ab_officers,2020,149
town_ab_officers,2022,149
town_ab_officers,2023,149
town_ab_officers,2024,149
town_ab_public_q,2017,87
town_ab_public_q,2018,91
town_ab_public_q,2019,91
town_ab_public_q,2020,91
town_ab_public_q,2022,91
town_ab_public_q,2023,91
town_ab_public_q,2024,91
town_sd_ab_budget,2017,100
town_sd_ab_budget,2018,109
town_sd_ab_budget,2019,109
town_sd_ab_budget,2020,109
town_sd_ab_budget,2022,109
town_sd_ab_budget,2023,109
town_sd_ab_budget,2024,109
town_sd_ab_officers,2017,119
town_sd_ab_officers,2018,118
town_sd_ab_officers,2019,118
town_sd_ab_officers,2020,118
town_sd_ab_officers,2022,118
town_sd_ab_officers,2023,118
town_sd_ab_officers,2024,118
town_sd_ab_public_q,2017,89
town_sd_ab_public_q,2018,97
town_sd_ab_public_q,2019,97
town_sd_ab_public_q,2020,97
town_sd_ab_public_q,2022,97
town_sd_ab_public_q,2023,97
town_sd_ab_public_q,2024,97
union_sd_ab_budget,2018,134
union_sd_ab_budget,2019,134
union_sd_ab_budget,2020,134
union_sd_ab_budget,2022,134
union_sd_ab_budget,2023,134
union_sd_ab_budget,2024,134
union_sd_ab_officers,2018,122
union_sd_ab_officers,2019,122
union_sd_ab_officers,2020,122
union_sd_ab_officers,2022,122
union_sd_ab_officers,2023,122
union_sd_ab_officers,2024,122
union_sd_ab_public_q,2018,103
union_sd_ab_public_q,2019,103
union_sd_ab_public_q,2020,103
union_sd_ab_public_q,2022,103
union_sd_ab_public_q,2023,103
union_sd_ab_public_q,2024,103
union_sd_member,2018,156
union_sd_member,2019,156
union_sd_member,2020,156
union_sd_member,2022,156
union_sd_member,2023,156
union_sd_member,2024,156
